,audio_path,model_label,start,end,script
0,../../data/concat_audio/MYNBYT/T1/chunk_0/275.9 277.6 BichNgoc.wav,BichNgoc,275.9,277.6,{'text': 'thôi mình ăn nhanh đi còn việc không thi làm nữa.'}
1,../../data/concat_audio/MYNBYT/T1/chunk_0/270.1 271.8 DucAnh.wav,DucAnh,270.1,271.8,{'text': 'cháu có chọn ra chú xin học cho ế buổi liền.'}
2,../../data/concat_audio/MYNBYT/T1/chunk_0/249.4 253.7 DucAnh.wav,DucAnh,249.4,253.7,{'text': 'mẹ này mười hai giờ đấy nhá đúng mười hai giờ mà không gửi mail thì cô đừng có trách đấy.'}
3,../../data/concat_audio/MYNBYT/T1/chunk_0/186.4 188.8 BichNgoc.wav,BichNgoc,186.4,188.8,{'text': 'tí xong việc ở đây nhá em sẽ về công ty làm việc tiếp cho anh.'}
4,../../data/concat_audio/MYNBYT/T1/chunk_0/121.0 132.1 DucAnh.wav,DucAnh,121.0,132.1,{'text': 'thôi tập trung bây giờ tất cả các em hoàn thành phần việc của mình đúng hai tiếng nữa gửi email cho anh anh sẽ ở đây tổng hợp xử lý rồi gửi cho khách hàng anh em mình phải ăn chặt con điêu này.'}
5,../../data/concat_audio/MYNBYT/T1/chunk_0/84.7 86.0 BichNgoc.wav,BichNgoc,84.7,86.0,{'text': 'leo chốt phải gửi lúc mấy giờ là tết.'}
6,../../data/concat_audio/MYNBYT/T1/chunk_0/96.9 98.0 BichNgoc.wav,BichNgoc,96.9,98.0,{'text': 'vẫn phải cố gắng ở thực lực chứ.'}
7,../../data/concat_audio/MYNBYT/T1/chunk_0/241.9 248.1 BichNgoc.wav,BichNgoc,241.9,248.1,{'text': 'đây là lần đầu tiên mà em chỉ ra một xíu thôi em đi chơi bạn về tí em sẽ chặn elai cho anh.'}
8,../../data/concat_audio/MYNBYT/T1/chunk_0/253.9 255.5 BichNgoc.wav,BichNgoc,253.9,255.5,{'text': 'vâng vâng vâng em biết rồi ạ.'}
9,../../data/concat_audio/MYNBYT/T1/chunk_0/99.7 109.9 DucAnh.wav,DucAnh,99.7,109.9,{'text': 'thưởng lắm lắm chụp vì phát ngôn xuất sắc thật nhát hay nhát thật à này từ từ trừ với cái tiền đi muộn vẫn hôn nợ công ty chưa trả đâu.'}
10,../../data/concat_audio/MYNBYT/T1/chunk_0/75.5 84.0 DucAnh.wav,DucAnh,75.5,84.0,{'text': 'vừa kiếm được một cái rót rất ngon luôn anh đã gửi mail phân công công việc cho từng đứa rồi check mail luôn đi mình có đúng một đêm nay để làm bản kế hoạch chi tiết truyền thông cho khách hàng.'}
11,../../data/concat_audio/MYNBYT/T1/chunk_0/86.6 89.9 DucAnh.wav,DucAnh,86.6,89.9,{'text': 'trước bảy giờ sáng mai có như thắng anh đã làm việc riêng với trợ lý bên họ rồi.'}
12,../../data/concat_audio/MYNBYT/T1/chunk_0/148.9 150.0 BichNgoc.wav,BichNgoc,148.9,150.0,{'text': 'em đây em đây.'}
13,../../data/concat_audio/MYNBYT/T1/chunk_0/159.3 163.1 DucAnh.wav,DucAnh,159.3,163.1,{'text': 'bây giờ anh cho mày đúng ba mươi giây để trả lời đang ở đâu với ai làm gì.'}
14,../../data/concat_audio/MYNBYT/T1/chunk_0/203.2 240.2 DucAnh.wav,DucAnh,203.2,240.2,{'text': 'cháu định gọi cho cô để báo với cô là à hôm nay a phiến ngọc là phải tăng ca về muộn cô ạ dạ vâng dạ vâng ạ cô yên tâm đi ngủ trước đi ạ chào chào cô.anh chiều mày quá nên mày hư đúng không anh nhận mày vào công ty không phải là để nói dối mẹ xong rồi kiếm cớ đi chơi được nhé.'}
